"id" "area" "biomass" "roads" "il_area" "uc_area" "pasture" "np" "ed" "mpa" "pland" "hydro" "pp" "prec_f" "temp_f" "af_lm" "af_ly" "ba_ly" "ba_lm" "da_ly" "da_lm" "prec_anom" "ahd" "temp_anom" "ba"
"17" 17 3.55960747048834 320.00701754386 0 2.86059283520085 0 0.596963399458994 2 0 1.4334904e-08 100 0 0 2.37094497680664 300.585479736328 0 0 0 0 0 0 0 -81.1185455322266 0 0
"18" 18 2542.09267480767 286.584924618837 0.000675240823183 0 2538.74449270366 151.806214750473 32 668361.665343475 6.05464197e-07 93.6833173203999 0.38553231511513 0 2.75809240341186 300.185180664062 1 0 0 0 0 0 0 -42.5100125712018 0 0
"19" 19 10759.4903182047 269.491086688337 0.017407519872693 2430.79969205736 7578.37775061121 10575.9513309941 1371 1815391.3913986 4.8851553e-08 76.5347178165734 21.3067059479768 782.288195528704 2.44067430496216 300.465789794922 535 6 0 0.25 0 0.188097072187627 0 -91.705039050844 0 0
"20" 20 1893.42637664503 191.860065786615 0.022604176412036 0 1279.13860035093 1604.24294041817 211 1343664.05120561 6.1371824e-08 84.0503693788869 13.993884597115 594.397419705313 1.36166965961456 300.712524414062 122 3 0 0 0 0.0809988867249934 0 -117.756934667888 0 0.589322753450216
"21" 21 609.029341901824 221.193479096085 0.009059489891573 608.393695821637 0 783.15504572557 103 1317537.2416256 4.236332e-08 87.9818395741573 10.3929370298999 0 6.9476375579834 297.835876464844 1 1 0 0 0 0 0 674.165656089783 0 0
"22" 22 1130.44910406584 221.147989040024 0.01876143501034 1113.75495316753 0 40.1314023474109 24 403736.321504091 3.4044705e-07 88.8651391326778 2.74907368386927 0 6.3185453414917 298.018585205078 0 0 0 0 0 0 0 671.292410457836 0 0
"23" 23 3510.14193522052 229.872582430639 0.000420767033576 3435.16805814332 0 220.499189210624 28 392630.011379513 9.54623803e-07 93.6521588886952 17.1603583365636 0 7.08524322509766 298.253265380859 2 0 0 0 0 0 0 689.02800325247 0 0
"24" 24 4778.2472248784 257.574178034002 0.000811605456894 4717.15593043656 3309.7138654634 356.761398657689 299 690790.371501809 1.18366105e-07 91.0746050813952 0 0 3.41505599021912 297.505554199219 1 0 0 0 0 0 0 88.973566109026 0 0
"25" 25 10799.3605108664 258.428695784494 0.000360832501433 10799.3605108664 3118.64775414475 128.900614880696 125 175738.17259326 6.83108194e-07 97.2606067993549 0 0 3.20302772521973 298.627075195312 0 0 0 0 0 0 0 132.019574182075 1 0
"26" 26 10799.3605108664 224.957428736215 0.037800298406341 7075.5081435377 156.749619739241 64510.7559413918 490 504352.463948636 1.65615193e-07 92.4078969306867 1.99205318890263 2958.52654203831 3.23434448242188 299.951110839844 2 2 0 0 0.342563112937089 2.26506901128646 0 198.220617405852 1 0
"27" 27 10799.3605108664 166.136256294714 0.300308870261911 470.771835288072 135.473524537189 223219.419061468 1110 1507470.08094289 5.2491204e-08 66.3662045143447 149.276770072822 7316.69247116037 2.53538274765015 301.579650878906 42 14 0 0 0.109220011501953 1.62403772644313 0 187.028158499871 0 0
